"shapeid","osm_id","name","highway","waterway","aerialway","barrier","man_made","z_order","other_tags"
"0","4790718","Skybridge to Hilton","footway","NULL","NULL","NULL","NULL","20","""bridge""=>""yes"",""foot""=>""yes"",""layer""=>""1"""
"1","4790735","NULL","footway","NULL","NULL","NULL","NULL","0","""foot""=>""yes"""
"2","8603359","Wheatland Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""history""=>""Retrieved from v1"",""lanes""=>""2"",""massgis:way_id""=>""194103"",""oneway""=>""yes"",""width""=>""12.2"""
"3","8603503","Munroe Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""history""=>""Retrieved from v1"",""lanes""=>""2"",""massgis:way_id""=>""121740"",""sidewalk""=>""both"",""width""=>""15.2"""
"4","8604709","Somerville Avenue","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""deficient"",""cycleway""=>""lane"",""lanes""=>""2"",""massgis:ref""=>""0 N333"",""massgis:way_id""=>""164573"",""oneway""=>""yes"",""width""=>""19.8"""
"5","8604730","Laurel Terrace","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""1"",""massgis:way_id""=>""209344"",""width""=>""6.1"""
"6","8604746","Columbia Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""193222"",""width""=>""12.2"""
"7","8604752","NULL","primary_link","NULL","NULL","NULL","NULL","7","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""lanes""=>""2"",""massgis:way_id""=>""110437"",""oneway""=>""yes"",""turn:lanes""=>""left|left"""
"8","8604756","Washington Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""massgis:ref""=>""0 N334"",""massgis:way_id""=>""116133"",""oneway""=>""yes"",""width""=>""18.3"""
"9","8604762","Cedar Street","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""good"",""cycleway""=>""shared_lane"",""hgv""=>""yes"",""lanes""=>""2"",""massgis:way_id""=>""107402"",""source:hgv""=>""MassGIS"",""width""=>""12.2"""
"10","8604767","Pearl Street","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""165587"",""width""=>""15.2"""
"11","8604785","Central Road","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""1"",""massgis:way_id""=>""176861"",""oneway""=>""yes"",""width""=>""12.2"""
"12","8604813","Monsignor O'Brien Highway","trunk","NULL","NULL","NULL","NULL","8","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""3"",""massgis:way_id""=>""159753"",""oneway""=>""yes"",""ref""=>""MA 28"",""width""=>""30.5"""
"13","8604814","Highland Avenue","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""fair"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:way_id""=>""167315"",""oneway""=>""yes"",""width""=>""18.3"""
"14","8604828","Elm Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""good"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:ref""=>""0 N450"",""massgis:way_id""=>""167120"",""width""=>""18.3"""
"15","8604840","Tennyson Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""159896"",""width""=>""12.2"""
"16","8604845","Charles E Ryan Road","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""198012"",""width""=>""15.9"""
"17","8604852","Porter Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""149002"",""width""=>""13.4"""
"18","8604858","Webster Avenue","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""deficient"",""cycleway""=>""lane"",""lanes""=>""2"",""massgis:way_id""=>""132257"",""oneway""=>""yes"",""width""=>""15.2"""
"19","8604870","Central Road","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""1"",""massgis:way_id""=>""176861"",""oneway""=>""yes"",""width""=>""9.1"""
"20","8604879","Medford Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""1"",""massgis:way_id""=>""179856"",""oneway""=>""yes"",""width""=>""15.2"""
