shapeid,y,x,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,LOGPL94171,LOGSF1,LOGACS0610,LOGSF1C,SHAPE_AREA,SHAPE_LEN
0,-71.0956825316,42.3565363942,25,017,353102,3,250173531023,Block Group 3,G5030,71978.0,0.0,+42.3565364,-071.0956825,774701.89,17.7847,1143,1,0102631,107060,0006669,0107060,71972.4417684,1386.04561894
1,-71.0945279994,42.3735962314,25,017,352700,2,250173527002,Block Group 2,G5030,75658.0,0.0,+42.3735962,-071.0945280,814307.82,18.6939,1061,518,0102612,107041,0006655,0107041,75651.9699519,1319.09529628
2,-71.1010097729,42.3717052182,25,017,352900,1,250173529001,Block Group 1,G5030,118221.0,0.0,+42.3717052,-071.1010098,1272429.82,29.211,978,502,0102618,107047,0006659,0107047,118213.069452,1457.70313668
3,-71.1045552256,42.3730526123,25,017,352900,2,250173529002,Block Group 2,G5030,176857.0,0.0,+42.3730526,-071.1045552,1903544.82,43.6994,1668,913,0102619,107048,0006660,0107048,176845.815216,1912.73647142
4,-71.1044729611,42.3644344839,25,017,353000,3,250173530003,Block Group 3,G5030,45504.0,0.0,+42.3644345,-071.1044730,489761.84,11.2434,851,503,0102623,107052,0006663,0107052,45500.5506478,905.234016796
5,-71.105708408,42.3661492326,25,017,353000,1,250173530001,Block Group 1,G5030,21161.0,0.0,+42.3661492,-071.1057084,227758.44,5.2286,85,79,0102621,107050,0006661,0107050,21159.5377598,690.370390422
6,-71.1037991154,42.3602647307,25,017,353200,1,250173532001,Block Group 1,G5030,209125.0,0.0,+42.3602647,-071.1037991,2250849.54,51.6724,2900,752,0102633,107062,0006670,0107062,209111.589874,2073.33567528
7,-71.1054226769,42.3578012407,25,017,353200,2,250173532002,Block Group 2,G5030,150632.0,0.0,+42.3578012,-071.1054227,1621278.74,37.2194,1032,493,0102634,107063,0006671,0107063,150622.33008,2160.29647666
8,-71.1088652995,42.3557471199,25,017,353200,3,250173532003,Block Group 3,G5030,154435.0,2709.0,+42.3559017,-071.1085586,1662230.26,38.1596,965,456,0102635,107064,0006672,0107064,154426.874523,1726.38293449
9,-71.1130422603,42.356730247,25,017,353300,3,250173533003,Block Group 3,G5030,254855.0,50244.0,+42.3556757,-071.1122880,2743043.79,62.9716,958,481,0102639,107068,0006675,0107068,254838.10975,2257.21571924
10,-71.1096677371,42.360526577,25,017,353300,2,250173533002,Block Group 2,G5030,127311.0,0.0,+42.3605266,-071.1096677,1370266.81,31.457,1515,782,0102638,107067,0006674,0107067,127302.458293,1461.2505095
11,-71.1132166694,42.3612171035,25,017,353400,2,250173534002,Block Group 2,G5030,133764.0,21376.0,+42.3607296,-071.1143927,1439722.68,33.0515,1622,750,0102642,107071,0006677,0107071,133755.157586,1918.63587066
12,-71.1124263904,42.3636284534,25,017,353400,1,250173534001,Block Group 1,G5030,159240.0,20448.0,+42.3636223,-071.1121707,1713904.7,39.3458,1226,548,0102641,107070,0006676,0107070,159227.596176,2324.5344536
13,-71.1174957512,42.3723355354,25,017,353700,4,250173537004,Block Group 4,G5030,52353.0,0.0,+42.3723355,-071.1174958,563487.91,12.9359,873,240,0102656,107085,0006688,0107085,52349.9556195,1245.18824965
14,-71.110414238,42.3754344196,25,017,353700,2,250173537002,Block Group 2,G5030,147436.0,0.0,+42.3754344,-071.1104142,1586884.59,36.4299,1141,676,0102654,107083,0006686,0107083,147426.987319,1666.23296684
15,-71.113721855,42.3739126885,25,017,353700,5,250173537005,Block Group 5,G5030,101148.0,0.0,+42.3739127,-071.1137219,1088680.44,24.9927,852,429,0102657,107086,0006689,0107086,101142.130725,1790.06157226
16,-71.1074640992,42.3750884578,25,017,353700,1,250173537001,Block Group 1,G5030,124862.0,0.0,+42.3750885,-071.1074641,1343922.38,30.8522,1039,601,0102653,107082,0006685,0107082,124854.964769,1663.07237128
17,-71.1113623521,42.3715061154,25,017,353800,3,250173538003,Block Group 3,G5030,126646.0,0.0,+42.3715061,-071.1113624,1363108.34,31.2927,1829,1131,0102661,107090,0006692,0107090,126637.411752,1466.93140652
18,-71.1073067904,42.3709626053,25,017,353800,1,250173538001,Block Group 1,G5030,56583.0,0.0,+42.3709626,-071.1073068,609014.98,13.9811,722,427,0102659,107088,0006690,0107088,56579.564474,1022.04789978
19,-71.1151091437,42.369441364,25,017,353900,1,250173539001,Block Group 1,G5030,101328.0,0.0,+42.3694414,-071.1151091,1090621.87,25.0372,2212,622,0102664,107093,0006694,0107093,101322.48586,1363.41080819
20,-71.1190736382,42.3708003669,25,017,353900,3,250173539003,Block Group 3,G5030,109719.0,0.0,+42.3708004,-071.1190736,1180945.03,27.1108,2371,38,0102666,107095,0006696,0107095,109713.825285,1445.81564815
21,-71.125783817,42.3800687836,25,017,354100,1,250173541001,Block Group 1,G5030,32491.0,0.0,+42.3800688,-071.1257838,349703.77,8.0281,371,259,0102672,107101,0006700,0107101,32488.6653269,939.189686774
22,-71.1217696692,42.3835414916,25,017,354000,1,250173540001,Block Group 1,G5030,120566.0,0.0,+42.3835415,-071.1217697,1297684.27,29.7907,954,578,0102668,107097,0006697,0107097,120559.292915,1544.65360984
23,-71.1234165956,42.3813535824,25,017,354000,2,250173540002,Block Group 2,G5030,160872.0,0.0,+42.3813536,-071.1234166,1731504.01,39.7499,2185,717,0102669,107098,0006698,0107098,160862.632993,1967.10152278
24,-71.1265634179,42.3782302088,25,017,354100,3,250173541003,Block Group 3,G5030,197182.0,0.0,+42.3782302,-071.1265634,2122329.22,48.722,1036,560,0102674,107103,0006702,0107103,197171.622307,2031.13362363
25,-71.1231490731,42.3728963937,25,017,354100,4,250173541004,Block Group 4,G5030,187486.0,0.0,+42.3728964,-071.1231491,2017928.91,46.3253,914,556,0102675,107104,0006703,0107104,187472.489205,1875.85298244
26,-71.1372201417,42.3719319049,25,017,354200,2,250173542002,Block Group 2,G5030,893111.0,59367.0,+42.3711503,-071.1371708,9623935.96,220.9352,999,538,0102678,107107,0006705,0107107,894096.489717,5018.16368998
27,-71.1389765166,42.3838387593,25,017,354400,1,250173544001,Block Group 1,G5030,181845.0,0.0,+42.3838388,-071.1389765,1957243.82,44.9321,812,389,0102685,107114,0006710,0107114,181834.625333,1900.21010731
