"shapeid","osm_id","name","highway","waterway","aerialway","barrier","man_made","z_order","other_tags"
"0","50446843","Peabody Street","primary","NULL","NULL","NULL","NULL","7","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""210303"",""oneway""=>""yes"",""ref""=>""MA 2A"",""width""=>""18.3"""
"1","9429150","Gussie Terrace","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""1"",""massgis:way_id""=>""157082"",""width""=>""9.1"""
"2","50446844","Peabody Street","primary","NULL","NULL","NULL","NULL","7","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""210303"",""oneway""=>""yes"",""ref""=>""MA 2A"",""turn:lanes""=>""left|through"",""width""=>""18.3"""
"3","8603503","Munroe Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""history""=>""Retrieved from v1"",""lanes""=>""2"",""massgis:way_id""=>""121740"",""sidewalk""=>""both"",""width""=>""15.2"""
"4","50446845","Cambridge Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""179248"",""oneway""=>""yes"",""width""=>""21.3"""
"5","9429158","Kimball Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""162928"",""width""=>""12.2"""
"6","8604709","Somerville Avenue","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""deficient"",""cycleway""=>""lane"",""lanes""=>""2"",""massgis:ref""=>""0 N333"",""massgis:way_id""=>""164573"",""oneway""=>""yes"",""width""=>""19.8"""
"7","9429165","Tyler Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""139629"",""width""=>""12.2"""
"8","50446846","Quincy Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""cycleway""=>""lane"",""lanes""=>""3"",""lanes:backward""=>""1"",""lanes:forward""=>""2"",""massgis:way_id""=>""150196"",""turn:lanes:forward""=>""left|right"",""width""=>""14.0"""
"9","9429169","Central Street","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""good"",""cycleway""=>""lane"",""lanes""=>""2"",""massgis:way_id""=>""147351"",""oneway""=>""yes"",""width""=>""10.1"""
"10","8604730","Laurel Terrace","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""1"",""massgis:way_id""=>""209344"",""width""=>""6.1"""
"11","9429170","Sacramento Street","service","NULL","NULL","NULL","NULL","0","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""1"",""massgis:way_id""=>""192537"",""service""=>""driveway"",""width""=>""12.2"""
"12","50446847","Bennett Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""109124"",""width""=>""12.2"""
"13","9429172","Bow Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""good"",""cycleway""=>""lane"",""lanes""=>""2"",""massgis:way_id""=>""122081"",""oneway""=>""yes"",""width""=>""12.2"""
"14","8604746","Columbia Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""193222"",""width""=>""12.2"""
"15","9429175","NULL","service","NULL","NULL","NULL","NULL","0","""service""=>""driveway"""
"16","50446849","Massachusetts Avenue","primary","NULL","NULL","NULL","NULL","7","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""4"",""massgis:way_id""=>""193208"",""oneway""=>""yes"",""ref""=>""MA 2A"",""turn:lanes""=>""left|through|through;right|right"",""width""=>""16.5"""
"17","9429176","Bolton Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""137226"",""width""=>""12.2"""
"18","50446852","Cambridge Street","primary_link","NULL","NULL","NULL","NULL","7","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""179248"",""oneway""=>""yes"",""width""=>""21.3"""
"19","9429178","Chestnut Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""fair"",""cycleway""=>""shared_lane"",""lanes""=>""2"",""massgis:way_id""=>""212090"",""width""=>""15.2"""
"20","8604756","Washington Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""massgis:ref""=>""0 N334"",""massgis:way_id""=>""116133"",""oneway""=>""yes"",""width""=>""18.3"""
"21","9429182","Franklin Avenue","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""1"",""massgis:way_id""=>""199310"",""oneway""=>""yes"",""width""=>""6.1"""
"22","50447251","Somerville Avenue","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""bicycle""=>""designated"",""condition""=>""deficient"",""cycleway""=>""lane"",""lanes""=>""2"",""massgis:ref""=>""0 N333"",""massgis:way_id""=>""164573"",""width""=>""19.8"""
"23","9429193","Hawkins Street","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""135195"",""oneway""=>""yes"",""width""=>""12.2"""
"24","50447252","Washington Street","secondary","NULL","NULL","NULL","NULL","6","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""massgis:ref""=>""0 N334"",""massgis:way_id""=>""116133"",""width""=>""18.3"""
"25","9429196","Cherry Street","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""1"",""massgis:way_id""=>""168384"",""oneway""=>""yes"",""width""=>""13.7"""
"26","8604767","Pearl Street","tertiary","NULL","NULL","NULL","NULL","4","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""165587"",""width""=>""15.2"""
"27","9429200","Evergreen Square","residential","NULL","NULL","NULL","NULL","3","""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""1"",""massgis:way_id""=>""201804"",""surface""=>""unpaved"",""width""=>""5.5"""
