shapeid,y,x
0,-71.1185362,42.3752652
0,-71.1185039,42.3754124
1,-71.1134635,42.3887224
1,-71.1122796,42.3882682
2,-71.1185286,42.3758061
2,-71.1185801,42.3759139
2,-71.1186573,42.376009
2,-71.1187775,42.3760978
2,-71.1189921,42.3762246
2,-71.119306,42.376391
3,-71.0955215,42.3831757
3,-71.0954541,42.3831349
3,-71.0943797,42.3824837
3,-71.0939551,42.3822361
3,-71.0939042,42.3822063
3,-71.0935382,42.3819657
3,-71.0934003,42.3818751
3,-71.0933165,42.3818108
3,-71.0932382,42.38172
3,-71.092824,42.3812634
3,-71.0927115,42.3811514
3,-71.0926471,42.3810888
3,-71.0924575,42.3809194
3,-71.0923768,42.3808589
3,-71.0922679,42.3808077
3,-71.0921738,42.3807741
3,-71.0920368,42.3807394
3,-71.091895,42.380724
3,-71.0917734,42.3807264
3,-71.0916541,42.3807355
3,-71.0915514,42.3807576
3,-71.091453,42.380787
3,-71.091146,42.380902
3,-71.090932,42.381
4,-71.1147667,42.3755725
4,-71.1155707,42.3756562
4,-71.1159491,42.3757057
4,-71.1161718,42.3757412
5,-71.1120152,42.3864798
5,-71.1113795,42.3862361
5,-71.1108573,42.3860422
6,-71.0955674,42.3796317
6,-71.0956969,42.3797118
6,-71.0957904,42.3797217
7,-71.1055658,42.3818171
7,-71.1050347,42.3816943
7,-71.1044968,42.3815628
7,-71.104273,42.3815081
7,-71.104091,42.3814609
7,-71.1039952,42.381442
8,-71.1142168,42.376064
8,-71.1141534,42.3763405
8,-71.114091,42.376624
9,-71.106884,42.383314
9,-71.106699,42.383688
9,-71.106386,42.384152
9,-71.105966,42.38475
9,-71.105612,42.385279
9,-71.1051039,42.3860407
10,-71.1036438,42.3839018
10,-71.104546,42.384238
11,-71.1119543,42.3843596
11,-71.111775,42.384554
12,-71.1225528,42.3725483
12,-71.1220814,42.3723709
12,-71.1220398,42.3723552
13,-71.0983039,42.38165
13,-71.0990329,42.3815249
13,-71.099547,42.3814284
14,-71.093746,42.374253
14,-71.09386,42.374701
14,-71.094018,42.375226
14,-71.094088,42.375508
14,-71.094108,42.375592
14,-71.094234,42.375782
14,-71.094708,42.375808
14,-71.095239,42.375868
15,-71.1078074,42.3835206
15,-71.107851,42.3834418
15,-71.1078832,42.3833922
15,-71.10791,42.3833387
15,-71.1079476,42.383305
15,-71.1079959,42.3832813
15,-71.1080307,42.3832733
15,-71.1080602,42.3832773
15,-71.1082319,42.3833288
15,-71.1082802,42.3833467
15,-71.1083204,42.3833704
15,-71.1083338,42.3833942
15,-71.1083392,42.3834219
15,-71.1083338,42.3834536
15,-71.108307,42.3835051
15,-71.1082453,42.3836181
16,-71.119617,42.376249
16,-71.1193837,42.3757253
17,-71.0983838,42.3747091
17,-71.098012,42.375221
17,-71.097857,42.375456
17,-71.097535,42.375946
18,-71.119477,42.37635
18,-71.119511,42.376331
18,-71.119541,42.376312
18,-71.119582,42.376281
18,-71.119617,42.376249
19,-71.0844487,42.3758712
19,-71.084788,42.376206
19,-71.085286,42.376756
19,-71.085901,42.377408
19,-71.086251,42.377784
19,-71.086431,42.377892
20,-71.0886374,42.3806562
20,-71.0890728,42.3805478
20,-71.0894095,42.3804269
20,-71.0897087,42.3803134
20,-71.0899473,42.3802233
20,-71.09032,42.380056
20,-71.090653,42.379881
21,-71.0849675,42.3815195
21,-71.084966,42.3830748
21,-71.0851763,42.3831336
22,-71.0936639,42.3789383
22,-71.0935689,42.3789027
