shapeid,osm_id,name,highway,waterway,aerialway,barrier,man_made,z_order,other_tags
0,8615280,Windsor Street,residential,NULL,NULL,NULL,NULL,3,"""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""157207"",""width""=>""12.2"""
1,263564989,NULL,NULL,NULL,NULL,NULL,NULL,5,"""old_railway_operator""=>""NYC"",""operator""=>""CSX"",""railway""=>""rail"""
2,8616079,Harrington Terrace,service,NULL,NULL,NULL,NULL,0,"""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""189104"",""width""=>""15.2"""
3,8615283,Second Street,residential,NULL,NULL,NULL,NULL,3,"""alt_name""=>""2nd Street"",""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""198296"",""width""=>""16.8; 15.2"""
4,263564991,Grand Junction Running Track,NULL,NULL,NULL,NULL,NULL,5,"""old_railway_operator""=>""NYC"",""operator""=>""CSX"",""railway""=>""rail"""
5,263687294,NULL,footway,NULL,NULL,NULL,NULL,0,"""foot""=>""yes"""
6,8615284,Richardson Street,residential,NULL,NULL,NULL,NULL,3,"""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""1"",""massgis:way_id""=>""119059"",""width""=>""6.1"""
7,263688612,NULL,footway,NULL,NULL,NULL,NULL,0,"""foot""=>""yes"",""footway""=>""sidewalk"""
8,8616082,Rogers Street,residential,NULL,NULL,NULL,NULL,3,"""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""1"",""massgis:way_id""=>""175769"",""width""=>""9.1"""
9,263688613,NULL,footway,NULL,NULL,NULL,NULL,0,"""foot""=>""yes"""
10,158695006,Harding Street,residential,NULL,NULL,NULL,NULL,3,"""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""deficient"",""lanes""=>""2"",""massgis:way_id""=>""185348"",""oneway""=>""yes"",""surface""=>""block"",""width""=>""9.1"""
11,263721948,Dr. Paul Dudley White Path,cycleway,NULL,NULL,NULL,NULL,0,"""cycleway""=>""track"",""foot""=>""yes"",""footway""=>""crossing"""
12,356867800,NULL,construction,NULL,NULL,NULL,NULL,0,"""access""=>""no"",""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""construction""=>""trunk_link"",""hgv""=>""no"",""lanes""=>""3"",""massgis:way_id""=>""144604"",""ref""=>""MA 3"",""width""=>""30.5"""
13,8615286,Vandine Street,residential,NULL,NULL,NULL,NULL,3,"""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""188394"",""width""=>""7.9"""
14,8616089,Bent Street,residential,NULL,NULL,NULL,NULL,3,"""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""lanes""=>""2"",""massgis:way_id""=>""107137"",""width""=>""14.9"""
15,263721957,Dr. Paul Dudley White Path,cycleway,NULL,NULL,NULL,NULL,0,"""cycleway""=>""track"",""foot""=>""yes"""
16,356867801,NULL,construction,NULL,NULL,NULL,NULL,0,"""access""=>""no"",""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""good"",""construction""=>""trunk_link"",""hgv""=>""no"",""lanes""=>""3"",""massgis:way_id""=>""144604"",""ref""=>""MA 3"",""width""=>""30.5"""
17,356867802,NULL,footway,NULL,NULL,NULL,NULL,0,"""bicycle""=>""yes"""
18,158695012,Willow Street,residential,NULL,NULL,NULL,NULL,3,"""attribution""=>""Office of Geographic and Environmental Information (MassGIS)"",""condition""=>""fair"",""lanes""=>""2"",""massgis:way_id""=>""181914"",""width""=>""8.5"""
