shapeid,y,x
0,-71.0969446,42.3613793
0,-71.0968764,42.3618769
0,-71.0968579,42.3620037
0,-71.096784,42.3625318
0,-71.0967167,42.3631323
0,-71.0967089,42.3632016
1,-71.0956861,42.360271
1,-71.0958606,42.3601671
1,-71.0960217,42.3600731
1,-71.0961637,42.3599947
1,-71.096446,42.3598537
1,-71.1037935,42.3562292
1,-71.1041972,42.3560303
1,-71.1082751,42.3540207
1,-71.1083691,42.3539725
1,-71.1084529,42.3539261
1,-71.1085393,42.3538765
1,-71.1086336,42.3538171
1,-71.1088152,42.3536929
2,-71.0948222,42.3723438
2,-71.0947252,42.3723156
2,-71.0942686,42.3721765
2,-71.0940972,42.3721217
2,-71.0940619,42.3721095
2,-71.0940383,42.372098
2,-71.0940386,42.3720644
2,-71.0940396,42.3720356
2,-71.0940222,42.3720112
2,-71.0939512,42.3719882
3,-71.080166,42.3640728
3,-71.0800048,42.364745
3,-71.0798771,42.3653096
3,-71.0798549,42.3654077
3,-71.079712,42.366093
3,-71.0795412,42.3667681
3,-71.0793781,42.3674403
3,-71.079332,42.367733
3,-71.07924,42.368116
3,-71.0790855,42.3687946
3,-71.078913,42.369482
3,-71.078881,42.36962
3,-71.0787532,42.3701584
3,-71.0785958,42.3708552
4,-71.0964725,42.3598831
4,-71.1038185,42.3562595
4,-71.1042237,42.3560597
4,-71.1082167,42.3540936
4,-71.1083327,42.3540339
4,-71.1084284,42.3539805
4,-71.108507,42.3539305
4,-71.1085749,42.3538844
4,-71.1086456,42.3538287
4,-71.1088152,42.3536929
5,-71.0908915,42.3588707
5,-71.0906495,42.3584668
5,-71.0907717,42.3584265
5,-71.0911666,42.3582963
5,-71.0915586,42.358167
5,-71.0916913,42.3581232
5,-71.091939,42.3585248
5,-71.0924053,42.3592729
5,-71.0918699,42.3594502
5,-71.0913416,42.3596255
5,-71.0908915,42.3588707
6,-71.099484,42.367847
6,-71.0985629,42.3675782
7,-71.0923901,42.3570279
7,-71.0923714,42.357072
7,-71.0923599,42.3570998
7,-71.0923569,42.3571314
7,-71.092377,42.3571669
7,-71.0923969,42.3572095
8,-71.079712,42.366093
8,-71.0780373,42.3658801
8,-71.0767703,42.3657096
9,-71.092767,42.3570806
9,-71.0927467,42.3570309
9,-71.0927341,42.3570005
9,-71.0927072,42.3569842
9,-71.0926697,42.3569733
9,-71.092605,42.3569602
10,-71.0903078,42.3739992
10,-71.090233,42.374344
11,-71.0817245,42.360605
11,-71.081753,42.3605963
11,-71.0818263,42.3605591
11,-71.0818556,42.3605474
11,-71.083565,42.3599717
11,-71.0867923,42.3588988
11,-71.0870231,42.3588217
11,-71.0878177,42.3585564
11,-71.0922778,42.3570648
11,-71.0923045,42.3570633
11,-71.0923372,42.3570699
11,-71.0923714,42.357072
11,-71.0924121,42.3570656
11,-71.0925169,42.3570338
11,-71.0925767,42.3570158
11,-71.0926446,42.3569952
11,-71.0926697,42.3569733
11,-71.0926901,42.3569462
11,-71.092708,42.3569281
11,-71.0927308,42.3569145
11,-71.0964594,42.3556668
11,-71.0985657,42.3549619
11,-71.0986081,42.3549521
11,-71.0986561,42.3549494
11,-71.09871,42.3549502
11,-71.0987683,42.3549569
11,-71.0988212,42.3549549
11,-71.0988641,42.3549474
11,-71.0989378,42.3549286
11,-71.0990721,42.3549057
11,-71.0999231,42.3547788
11,-71.1000692,42.3547563
11,-71.1002171,42.3547269
11,-71.1003543,42.3546979
11,-71.1004797,42.3546692
11,-71.1006056,42.3546348
11,-71.1007667,42.3545822
11,-71.1009396,42.3545261
11,-71.1011303,42.3544628
11,-71.102201,42.3541064
11,-71.1031281,42.3538009
11,-71.103316,42.3537463
11,-71.1034873,42.3536955
11,-71.1036538,42.3536536
11,-71.1038408,42.3536111
11,-71.1040232,42.353573
11,-71.104198,42.3535421
11,-71.1044007,42.3535089
11,-71.1045985,42.3534813
11,-71.1047728,42.3534591
11,-71.1049735,42.3534405
11,-71.1051848,42.3534248
11,-71.1061708,42.3533667
11,-71.1064599,42.3533544
11,-71.1067153,42.3533477
11,-71.1069084,42.353343
11,-71.1071115,42.3533447
11,-71.1073027,42.3533496
11,-71.1073919,42.3533561
11,-71.1080227,42.3533972
11,-71.1081697,42.3534068
11,-71.1082954,42.3534056
11,-71.1084146,42.3534047
11,-71.1085487,42.3533987
11,-71.1086446,42.3534007
11,-71.1087464,42.3534067
11,-71.1088471,42.3534175
11,-71.1089405,42.3534322
11,-71.1092585,42.3534991
11,-71.1093939,42.3535234
11,-71.1101428,42.3536609
11,-71.1102194,42.3536672
11,-71.1102719,42.3536634
12,-71.079924,42.3615327
12,-71.0798858,42.3615952
12,-71.0798309,42.3616951
12,-71.0797965,42.3617695
13,-71.0915338,42.3691635
13,-71.090339,42.368798
14,-71.0795412,42.3667681
14,-71.0778774,42.3665632
15,-71.078221,42.3626982
15,-71.0782194,42.3627233
15,-71.0782208,42.3627518
15,-71.0782519,42.3629352
15,-71.0782136,42.3629267
15,-71.0781697,42.3629235
15,-71.0781341,42.3629248
15,-71.0780969,42.3629322
15,-71.0780773,42.3629165
15,-71.0780456,42.3629042
15,-71.0780109,42.3629021
15,-71.0779765,42.3629043
15,-71.0779468,42.3629122
15,-71.0779246,42.3629238
15,-71.077907,42.3629404
15,-71.073955,42.3670586
15,-71.0739236,42.367095
15,-71.0738992,42.3671329
15,-71.0738793,42.3671675
15,-71.0738595,42.3672147
15,-71.0738457,42.3672567
15,-71.0738321,42.3672955
15,-71.0738243,42.3673294
15,-71.0738196,42.3673821
15,-71.0738183,42.3674405
15,-71.0738236,42.367496
15,-71.0738357,42.3675525
15,-71.0738545,42.367604
15,-71.073888,42.3676565
15,-71.0739336,42.36771
15,-71.0739984,42.3677766
15,-71.0740214,42.3678031
15,-71.0740395,42.3678289
15,-71.0740613,42.3678728
15,-71.0740953,42.367956
15,-71.0741069,42.3679857
15,-71.0741102,42.368015
15,-71.0741083,42.3680444
15,-71.0741007,42.3680694
15,-71.0740899,42.3680947
15,-71.0740725,42.3681209
15,-71.0740164,42.3681754
16,-71.0831462,42.3602898
16,-71.0830357,42.3603343
16,-71.082924,42.360378
16,-71.0826376,42.3604819
16,-71.0824962,42.3605361
16,-71.0823746,42.3605866
16,-71.0822559,42.3606388
16,-71.0814955,42.3609768
16,-71.081406,42.3610132
16,-71.0813115,42.3610464
16,-71.0812052,42.3610808
16,-71.0810948,42.3611103
16,-71.0801874,42.3613483
16,-71.0801237,42.3613683
16,-71.0800769,42.3613892
16,-71.08003,42.3614154
16,-71.0799961,42.3614437
17,-71.0797137,42.3614578
17,-71.0798382,42.3613805
17,-71.0799287,42.3613315
17,-71.0800134,42.3612915
17,-71.0801815,42.3612283
17,-71.0803219,42.3611823
17,-71.080455,42.3611394
17,-71.0808385,42.3610266
17,-71.0809741,42.3609826
17,-71.0811172,42.3609277
17,-71.0812411,42.3609297
17,-71.0812462,42.3608657
17,-71.0812513,42.3608005
17,-71.0814457,42.3608027
17,-71.0816644,42.3607183
17,-71.081912,42.3606718
18,-71.0914802,42.3740103
18,-71.0914592,42.3740926
19,-71.0784631,42.3615316
19,-71.0784893,42.3614462
19,-71.0785224,42.3613667
19,-71.0785634,42.3612885
19,-71.0786151,42.3612039
19,-71.0786737,42.3611338
19,-71.0787401,42.3610622
19,-71.0788197,42.360991
19,-71.0789023,42.3609342
19,-71.0789926,42.3608787
19,-71.0790835,42.3608303
19,-71.0791796,42.3607895
19,-71.079288,42.3607501
19,-71.079395,42.3607202
19,-71.0795059,42.3606964
19,-71.079611,42.3606819
19,-71.0797269,42.3606717
19,-71.0798347,42.3606648
19,-71.0799478,42.3606636
19,-71.0810402,42.3606695
19,-71.0811626,42.3606667
19,-71.0812949,42.3606594
19,-71.0814314,42.3606468
19,-71.0815765,42.3606276
19,-71.0817245,42.360605
20,-71.0950735,42.3572124
20,-71.0954407,42.3570908
20,-71.0968722,42.35663
21,-71.0923139,42.3737476
21,-71.0923382,42.3737285
21,-71.0923503,42.3737048
21,-71.0923493,42.3736791
21,-71.0923351,42.3736557
21,-71.0923099,42.3736381
21,-71.0922776,42.3736289
21,-71.0922424,42.3736296
21,-71.0922112,42.3736399
21,-71.0921879,42.3736575
21,-71.0921745,42.3736823
21,-71.0921749,42.3737069
21,-71.0921893,42.3737316
21,-71.092215,42.3737496
21,-71.0922471,42.3737587
21,-71.0922823,42.3737581
21,-71.0923139,42.3737476
22,-71.088079,42.372918
22,-71.0887897,42.3730061
23,-71.0801729,42.3617919
23,-71.0797965,42.3617695
23,-71.0792379,42.3617305
24,-71.0923503,42.3737048
24,-71.0929472,42.3737839
25,-71.0783991,42.3619223
25,-71.0783768,42.3620844
25,-71.0783497,42.3622073
25,-71.0783283,42.3623036
25,-71.0782855,42.3624987
25,-71.0782731,42.3625424
25,-71.078221,42.3626982
26,-71.0925017,42.3726517
26,-71.0922776,42.3736289
27,-71.0784631,42.3615316
27,-71.0783991,42.3619223
28,-71.0874841,42.3720785
28,-71.08749,42.371994
28,-71.0874953,42.3719275
29,-71.0988437,42.3551266
29,-71.0988791,42.355193
29,-71.0989157,42.3552656
30,-71.0790842,42.3612926
30,-71.0790922,42.361252
30,-71.0790934,42.3612173
30,-71.079088,42.3611902
30,-71.0790756,42.3611568
30,-71.0790485,42.3611281
30,-71.0790153,42.3611084
30,-71.0789788,42.3610924
30,-71.0789374,42.3610839
30,-71.0788982,42.3610803
30,-71.0788561,42.3610829
30,-71.0787922,42.3610908
31,-71.0789425,42.3616028
31,-71.078982,42.3615531
31,-71.0790205,42.3615105
31,-71.0790707,42.3614638
31,-71.0791026,42.361441
31,-71.0791495,42.3614159
31,-71.0792035,42.3613939
31,-71.0792608,42.3613765
31,-71.0793163,42.3613636
31,-71.0793883,42.3613556
31,-71.0794573,42.3613582
31,-71.0795157,42.3613674
31,-71.0795648,42.3613804
31,-71.0796066,42.3613974
31,-71.0796458,42.3614195
31,-71.0796839,42.3614419
31,-71.0797137,42.3614578
32,-71.0967383,42.3561345
32,-71.096689,42.3560517
32,-71.0966668,42.3560144
33,-71.0897704,42.3636292
33,-71.0898801,42.3632051
34,-71.089664,42.3590406
34,-71.0895558,42.3588656
35,-71.0894626,42.3648462
35,-71.0894745,42.3648023
36,-71.0895558,42.3588656
36,-71.0895408,42.3588401
37,-71.0896414,42.3641696
37,-71.0896959,42.3639169
37,-71.0897704,42.3636292
38,-71.0831239,42.3644637
38,-71.0819266,42.3643055
38,-71.0817421,42.3642811
38,-71.0812761,42.3642195
38,-71.080166,42.3640728
38,-71.0785477,42.363859
39,-71.119023,42.3877694
39,-71.1190824,42.3867491
39,-71.1198935,42.3795286
39,-71.1199552,42.3792248
39,-71.1202999,42.3779534
39,-71.1203146,42.3777752
39,-71.1202707,42.3775901
39,-71.1200341,42.3770056
39,-71.1199207,42.3768266
39,-71.1197309,42.3766282
39,-71.1191906,42.3761593
39,-71.119023,42.3759747
39,-71.1189155,42.3758168
39,-71.1188432,42.3756677
39,-71.1188035,42.3755044
39,-71.118792,42.3752764
39,-71.1187771,42.3748757
39,-71.118774,42.3746587
39,-71.1187744,42.3744404
39,-71.1187796,42.3741758
39,-71.1187907,42.3738972
39,-71.1187865,42.3737957
39,-71.1187776,42.3737345
39,-71.1187529,42.3736531
39,-71.1187238,42.3735916
39,-71.1186592,42.3734975
39,-71.118537,42.3733824
39,-71.1183925,42.3732953
39,-71.1181987,42.3732257
39,-71.11654,42.3727817
39,-71.1161451,42.3726257
39,-71.1159664,42.3725159
39,-71.1156001,42.372274
39,-71.1152462,42.3719864
39,-71.1146339,42.3714648
39,-71.1138836,42.3708359
39,-71.1131474,42.3702894
39,-71.1129156,42.3701155
39,-71.1125893,42.3698538
39,-71.1117143,42.3695465
39,-71.1105374,42.3691322
39,-71.1096038,42.3687748
39,-71.1088982,42.3684606
39,-71.1083283,42.3681966
39,-71.1076658,42.3678529
39,-71.1069202,42.3673953
39,-71.1060729,42.366849
39,-71.1052873,42.3663686
39,-71.1043968,42.3658337
39,-71.1037042,42.3654238
39,-71.1007207,42.3636643
39,-71.1005446,42.3635939
39,-71.1003249,42.3635277
39,-71.1000842,42.3634792
39,-71.0998029,42.3634512
39,-71.0945981,42.3630683
39,-71.085634,42.3624112
39,-71.0851959,42.3623723
39,-71.084519,42.3623015
39,-71.0836723,42.3622
39,-71.0832347,42.3621428
39,-71.0826893,42.3620859
39,-71.0819479,42.3620305
40,-71.0895408,42.3588401
40,-71.089501,42.3587726
41,-71.0878608,42.3586265
41,-71.0878906,42.3586751
41,-71.0879172,42.3587183
42,-71.0925895,42.3572163
42,-71.0916471,42.3575287
42,-71.0915051,42.3575732
42,-71.0913597,42.3576149
42,-71.0912431,42.3576428
42,-71.0911235,42.3576681
42,-71.0908442,42.3577169
42,-71.0907105,42.3577438
42,-71.0905727,42.3577804
42,-71.0904475,42.3578191
42,-71.0901747,42.3579097
43,-71.0755329,42.3705222
43,-71.0759287,42.3708229
43,-71.0761423,42.3709661
43,-71.0763655,42.3711056
43,-71.0764908,42.3711798
43,-71.0766269,42.3712544
43,-71.076771,42.371325
43,-71.076939,42.3713971
43,-71.0771155,42.3714679
43,-71.0775623,42.3716339
43,-71.0777611,42.3717095
43,-71.0782795,42.3719109
43,-71.078421,42.3719747
43,-71.0785542,42.3720377
43,-71.0791835,42.3723572
43,-71.0793707,42.3724522
43,-71.0809527,42.373253
44,-71.098368,42.3591537
44,-71.0982915,42.359191
44,-71.0985053,42.3594344
44,-71.098398,42.3595335
44,-71.0985278,42.3596973
45,-71.087076,42.3589061
45,-71.087098,42.3589411
45,-71.0871284,42.3589895
46,-71.098368,42.3591537
46,-71.098171,42.3589395
47,-71.0898395,42.3620441
47,-71.0897368,42.362036
47,-71.0895467,42.362025
47,-71.0893719,42.3620127
47,-71.0888943,42.3619749
47,-71.0886321,42.3622449
47,-71.0882512,42.3624491
47,-71.088182,42.3624442
48,-71.0868417,42.3589852
48,-71.086862,42.3590208
48,-71.0868696,42.3590342
48,-71.0869032,42.359093
49,-71.0888943,42.3619749
49,-71.0889364,42.3619388
49,-71.0892517,42.3614744
49,-71.0893208,42.3613802
49,-71.0894505,42.3611696
50,-71.0822834,42.3678172
50,-71.082123,42.368501
50,-71.08202,42.368948
50,-71.081969,42.369169
50,-71.081862,42.369631
50,-71.08181,42.36986
50,-71.08166,42.370534
50,-71.0816176,42.3706687
50,-71.0815754,42.3708756
50,-71.081503,42.37123
51,-71.089823,42.3619913
51,-71.0897378,42.3619432
51,-71.0895564,42.3617673
51,-71.0894372,42.3616541
51,-71.0892517,42.3614744
51,-71.088999,42.3612285
51,-71.0888839,42.3611139
52,-71.0940072,42.357883
52,-71.094064,42.3579726
52,-71.09407,42.3579821
52,-71.0940875,42.3579933
52,-71.0941167,42.3579959
52,-71.0941412,42.3579924
52,-71.0945779,42.3578492
52,-71.0945954,42.3578337
52,-71.0946001,42.357813
52,-71.0945977,42.3577923
52,-71.0945838,42.3577654
52,-71.0945509,42.3577016
53,-71.0952323,42.3574741
53,-71.0954338,42.3574171
53,-71.0955,42.3574204
53,-71.0955423,42.3574351
53,-71.095587,42.3574709
53,-71.0956065,42.3575016
54,-71.083565,42.3599717
54,-71.0836352,42.3600867
54,-71.0838509,42.3604403
55,-71.0898061,42.3697398
55,-71.08967,42.369702
55,-71.089506,42.369659
55,-71.089373,42.369617
55,-71.088975,42.369609
55,-71.088721,42.369593
56,-71.0956065,42.3575016
56,-71.0958413,42.3578832
56,-71.0959623,42.3580799
56,-71.0959907,42.3580949
56,-71.0960314,42.3580949
56,-71.0961371,42.3580588
56,-71.0961534,42.3580408
