"shapeid","x","y"
"0.0","-70.234054","41.285653"
"0.0","-70.2236082504","41.2826010669"
"0.0","-70.221219","41.281903"
"0.0","-70.2208006403","41.281745785"
"0.0","-70.2194283107","41.2812300787"
"0.0","-70.21504","41.279581"
"0.0","-70.211712","41.275651"
"0.0","-70.211609223","41.2756601945"
"0.0","-70.2105269366","41.275757017"
"0.0","-70.2061254145","41.2761507817"
"0.0","-70.20173","41.276544"
"0.0","-70.2005230988","41.27712114"
"0.0","-70.1968995867","41.2788539032"
"0.0","-70.193886","41.280295"
"0.0","-70.1918870028","41.2861368568"
"0.0","-70.191747","41.286546"
"0.0","-70.1923053297","41.2871135868"
"0.0","-70.195788","41.290654"
"0.0","-70.1958437382","41.2906307301"
"0.0","-70.202205","41.287975"
"0.0","-70.2042555039","41.2882549885"
"0.0","-70.205488771","41.2884233864"
"0.0","-70.207434","41.288689"
"0.0","-70.205692","41.291246"
"0.0","-70.2025846251","41.2935818464"
"0.0","-70.199115","41.29619"
"0.0","-70.1949980459","41.2965768667"
"0.0","-70.193411","41.296726"
"0.0","-70.186991","41.294513"
"0.0","-70.1855105039","41.2944973264"
"0.0","-70.1727984311","41.2943627468"
"0.0","-70.1677298705","41.2943090873"
"0.0","-70.1630617649","41.2942596672"
"0.0","-70.1319283497","41.2939300655"
"0.0","-70.12446","41.293851"
"0.0","-70.1228553488","41.294016145"
"0.0","-70.109613","41.295379"
"0.0","-70.104415","41.297327"
"0.0","-70.10411079","41.2973372618"
"0.0","-70.0946867536","41.2976551589"
"0.0","-70.0925213855","41.2977282023"
"0.0","-70.092142","41.297741"
"0.0","-70.082072","41.299093"
"0.0","-70.0756358448","41.3022713197"
"0.0","-70.0640179925","41.3080084793"
"0.0","-70.062565","41.308726"
"0.0","-70.046088","41.321651"
"0.0","-70.031332","41.339332"
"0.0","-70.024421","41.360622"
"0.0","-70.024031","41.368613"
"0.0","-70.0244690108","41.3690596576"
"0.0","-70.030363","41.37507"
"0.0","-70.034641","41.378994"
"0.0","-70.037092813","41.3799014846"
"0.0","-70.041517","41.381539"
"0.0","-70.045586","41.383598"
"0.0","-70.049564","41.3879"
"0.0","-70.0490616349","41.3916377534"
"0.0","-70.049053","41.391702"
"0.0","-70.04274","41.389311"
"0.0","-70.037371","41.384066"
"0.0","-70.02038","41.369006"
"0.0","-69.9943724156","41.329942481"
"0.0","-69.9900701741","41.3234804932"
"0.0","-69.977537285","41.3046560326"
"0.0","-69.9751853644","41.3011234362"
"0.0","-69.9686160689","41.2912563223"
"0.0","-69.9664150918","41.287950444"
"0.0","-69.960277","41.278731"
"0.0","-69.9602438161","41.2738277385"
"0.0","-69.9602146078","41.2695119079"
"0.0","-69.960181","41.264546"
"0.0","-69.964129","41.255382"
"0.0","-69.9665646883","41.2526725351"
"0.0","-69.968088","41.250978"
"0.0","-69.9727312994","41.2479812368"
"0.0","-69.974983","41.246528"
"0.0","-69.9850096084","41.2440375441"
"0.0","-70.001603","41.239916"
"0.0","-70.015225","41.237964"
"0.0","-70.0369728319","41.2414374648"
"0.0","-70.0437721064","41.242523414"
"0.0","-70.05318","41.244026"
"0.0","-70.0750937318","41.244567535"
"0.0","-70.083489","41.244775"
"0.0","-70.092404","41.24332"
"0.0","-70.097861","41.241149"
"0.0","-70.100495","41.240553"
"0.0","-70.1148567122","41.2419738407"
"0.0","-70.1169278996","41.2421787485"
"0.0","-70.1169548508","41.2421814149"
"0.0","-70.118669","41.242351"
"0.0","-70.1423587971","41.2492612689"
"0.0","-70.1629639171","41.2552717434"
"0.0","-70.170356","41.257428"
"0.0","-70.1956350632","41.2671515938"
"0.0","-70.2124552835","41.273621493"
"0.0","-70.2126523957","41.2736973123"
"0.0","-70.22134","41.277039"
"0.0","-70.233106608","41.2830533419"
"0.0","-70.237144","41.285117"
"0.0","-70.234054","41.285653"
"0.1","-70.276653","41.311283"
"0.1","-70.2762589535","41.3112386779"
"0.1","-70.2753313086","41.3111343368"
"0.1","-70.2731160681","41.3108851678"
"0.1","-70.272999","41.310872"
"0.1","-70.271051","41.311238"
"0.1","-70.2686391431","41.3112065796"
"0.1","-70.26752","41.311192"
"0.1","-70.265389","41.311375"
"0.1","-70.26295","41.311452"
