"shapeid","x","y","STATEFP10","COUNTYFP10","TRACTCE10","GEOID10","NAME10","NAMELSAD10","MTFCC10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","AREA_SQFT","AREA_ACRES","POP100_RE","HU100_RE","LOGPL94171","LOGSF1","LOGACS0610","LOGSF1C","SHAPE_AREA","SHAPE_LEN","SUMHURR_CA","MEANHURR_C","MINHURR_CA","MAXHURR_CA","MEDHURR_CA","SUMSHAPE_A","MEANSHAPE_","MINSHAPE_A","MAXSHAPE_A","MEDSHAPE_A","SUMSHAPE_L","MEANSHAP_1","MINSHAPE_L","MAXSHAPE_L","MEDSHAPE_L","COUNT"
"0","-71.0207478048","42.233388179","25","021","418003","25021418003","4180.03","Census Tract 4180.03","G5020","1705668.0","2936.0","+42.2350240","-071.0200129","18389900.39","422.174","2481","1350","0141872","123764","0003690","0123764","1708484.48042","6274.18503426","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"1","-71.0011786129","42.2523431913","25","021","417701","25021417701","4177.01","Census Tract 4177.01","G5020","1543651.0","12275.0","+42.2523398","-071.0007484","16746649.09","384.4502","5417","2983","0141838","123730","0003683","0123730","1555820.83616","6229.13791303","161.0","3.0","1.0","4.0","3.0","1487346.43374","30986.3840363","9.290304","800803.782834","1603.2913672","52104.2272478","1085.50473433","12.192","13190.6936747","323.309692748","48.0"
"2","-70.9922764655","42.2598301228","25","021","417702","25021417702","4177.02","Census Tract 4177.02","G5020","1685529.0","317947.0","+42.2582818","-070.9887207","18142381.08","416.4918","2765","1109","0141843","123735","0003684","0123735","1685489.09539","8542.49828582","750.0","3.0","1.0","4.0","3.0","6204267.75345","25743.8495994","9.290304","3567094.20212","27.870912","155785.491345","646.412827157","12.192","57000.8392655","24.384","241.0"
"3","-71.0216223756","42.2467546016","25","021","418102","25021418102","4181.02","Census Tract 4181.02","G5020","771203.0","2371.0","+42.2470410","-071.0211009","8326047.44","191.1397","3377","1676","0141882","123774","0003693","0123774","773518.205207","4540.29610061","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4","-71.0104974321","42.2383745023","25","021","418004","25021418004","4180.04","Census Tract 4180.04","G5020","1316466.0","0.0","+42.2383744","-071.0104974","14169248.82","325.2812","4280","1987","0141874","123766","0003691","0123766","1316371.58016","5854.49736606","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5","-71.1721333244","42.2145587098","25","021","412300","25021412300","4123","Census Tract 4123","G5020","7198427.0","87984.0","+42.2148462","-071.1721804","78424419.94","1800.3769","4712","1638","0141707","123599","0003656","0123599","7285896.1568","13310.440108","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"6","-71.2201488437","42.2341701736","25","021","412200","25021412200","4122","Census Tract 4122","G5020","11715496.0","256485.0","+42.2354674","-071.2197246","128855713.61","2958.1201","3572","1494","0141704","123596","0003655","0123596","11971135.4711","16141.6293598","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"7","-71.2963146104","42.2881135742","25","021","404400","25021404400","4044","Census Tract 4044","G5020","6864636.0","595750.0","+42.2881888","-071.2954958","80297098.46","1843.3677","6276","1793","0141623","123515","0003638","0123515","7459874.33979","14607.5152512","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"8","-71.309068365","42.3122112937","25","021","404301","25021404301","4043.01","Census Tract 4043.01","G5020","3950173.0","4734.0","+42.3124083","-071.3081154","42567225.89","977.209","5508","1884","0141613","123505","0003636","0123505","3954640.50813","9349.95030927","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"9","-71.1039149591","42.2253171323","25","021","416102","25021416102","4161.02","Census Tract 4161.02","G5020","13311437.0","182257.0","+42.2259907","-071.1000663","145234039.73","3334.1148","3810","1027","0141773","123665","0003671","0123665","13492737.695","18143.2619813","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
