time_since_midnight,x,y,count,type,start,notes,,,
0,42.365779,-71.092001,176,car,A,"Broadway, in",,,
1,42.365779,-71.092001,107,car,A,,,,
2,42.365779,-71.092001,66,car,A,,,,
3,42.365779,-71.092001,38,car,A,,,,
4,42.365779,-71.092001,27,car,A,,,,
5,42.365779,-71.092001,37,car,A,,,,
6,42.365779,-71.092001,94,car,A,,,,
7,42.365779,-71.092001,301,car,A,,,,
8,42.365779,-71.092001,503,car,A,,,,
9,42.365779,-71.092001,601,car,A,,,,
10,42.365779,-71.092001,559,car,A,,,,
11,42.365779,-71.092001,423,car,A,,,,
12,42.365779,-71.092001,435,car,A,,,,
13,42.365779,-71.092001,521,car,A,,,,
14,42.365779,-71.092001,518,car,A,,,,
15,42.365779,-71.092001,581,car,A,,,,
16,42.365779,-71.092001,542,car,A,,,,
17,42.365779,-71.092001,680,car,A,,,,
18,42.365779,-71.092001,821,car,A,,,,
19,42.365779,-71.092001,557,car,A,,,,
20,42.365779,-71.092001,433,car,A,,,,
21,42.365779,-71.092001,324,car,A,,,,
22,42.365779,-71.092001,299,car,A,,,,
23,42.365779,-71.092001,253,car,A,,,,
0,42.362857,-71.091945,136,car,B,"main, west, in",,42.362925,-71.092881
1,42.362857,-71.091945,77,car,B,,,,
2,42.362857,-71.091945,46,car,B,,,,
3,42.362857,-71.091945,21,car,B,,,,
4,42.362857,-71.091945,26,car,B,,,,
5,42.362857,-71.091945,40,car,B,,,,
6,42.362857,-71.091945,101,car,B,,,,
7,42.362857,-71.091945,195,car,B,,,,
8,42.362857,-71.091945,380,car,B,,,,
9,42.362857,-71.091945,520,car,B,,,,
10,42.362857,-71.091945,458,car,B,,,,
11,42.362857,-71.091945,370,car,B,,,,
12,42.362857,-71.091945,400,car,B,,,,
13,42.362857,-71.091945,389,car,B,,,,
14,42.362857,-71.091945,435,car,B,,,,
15,42.362857,-71.091945,515,car,B,,,,
16,42.362857,-71.091945,619,car,B,,,,
17,42.362857,-71.091945,539,car,B,,,,
18,42.362857,-71.091945,562,car,B,,,,
19,42.362857,-71.091945,472,car,B,,,,
20,42.362857,-71.091945,301,car,B,,,,
21,42.362857,-71.091945,257,car,B,,,,
22,42.362857,-71.091945,245,car,B,,,,
23,42.362857,-71.091945,214,car,B,,,,
0,42.367555,-71.090248,53,car,G,in from binney,,21,
1,42.367555,-71.090248,40,car,G,,,0,
2,42.367555,-71.090248,7,car,G,,,0,
3,42.367555,-71.090248,4,car,G,,,4,
4,42.367555,-71.090248,3,car,G,,,5,
5,42.367555,-71.090248,4,car,G,,,11,
6,42.367555,-71.090248,23,car,G,,,33,
7,42.367555,-71.090248,71,car,G,,,80,
8,42.367555,-71.090248,155,car,G,,,170,
9,42.367555,-71.090248,232,car,G,,,322,
10,42.367555,-71.090248,182,car,G,,,253,
11,42.367555,-71.090248,127,car,G,,,142,
12,42.367555,-71.090248,161,car,G,,,99,
13,42.367555,-71.090248,196,car,G,,,81,
14,42.367555,-71.090248,177,car,G,,,52,
15,42.367555,-71.090248,236,car,G,,,58,
16,42.367555,-71.090248,301,car,G,,,64,
17,42.367555,-71.090248,429,car,G,,,34,
18,42.367555,-71.090248,549,car,G,,,46,
19,42.367555,-71.090248,336,car,G,,,86,
20,42.367555,-71.090248,175,car,G,,,72,
21,42.367555,-71.090248,119,car,G,,,37,
22,42.367555,-71.090248,159,car,G,,,27,
23,42.367555,-71.090248,61,car,G,,,30,
0,42.35936,-71.087216,10,car,D,in from mem drive,,,
1,42.35936,-71.087216,0,car,D,,,,
2,42.35936,-71.087216,0,car,D,,,,
3,42.35936,-71.087216,2,car,D,,,,
4,42.35936,-71.087216,2,car,D,,,,
5,42.35936,-71.087216,5,car,D,,,,
6,42.35936,-71.087216,16,car,D,,,,
7,42.35936,-71.087216,40,car,D,,,,
8,42.35936,-71.087216,85,car,D,,,,
9,42.35936,-71.087216,161,car,D,,,,
10,42.35936,-71.087216,126,car,D,,,,
11,42.35936,-71.087216,71,car,D,,,,
12,42.35936,-71.087216,49,car,D,,,,
13,42.35936,-71.087216,40,car,D,,,,
14,42.35936,-71.087216,26,car,D,,,,
15,42.35936,-71.087216,29,car,D,,,,
16,42.35936,-71.087216,32,car,D,,,,
17,42.35936,-71.087216,17,car,D,,,,
18,42.35936,-71.087216,23,car,D,,,,
19,42.35936,-71.087216,43,car,D,,,,
20,42.35936,-71.087216,36,car,D,,,,
21,42.35936,-71.087216,18,car,D,,,,
22,42.35936,-71.087216,13,car,D,,,,
23,42.35936,-71.087216,15,car,D,,,,
0,42.362128,-71.08231,217,car,E,in from the bridge,,,
1,42.362128,-71.08231,84,car,E,,,,
2,42.362128,-71.08231,74,car,E,,,,
3,42.362128,-71.08231,46,car,E,,,,
4,42.362128,-71.08231,19,car,E,,,,
5,42.362128,-71.08231,43,car,E,,,,
6,42.362128,-71.08231,287,car,E,,,,
7,42.362128,-71.08231,576,car,E,,,,
8,42.362128,-71.08231,725,car,E,,,,
9,42.362128,-71.08231,899,car,E,,,,
10,42.362128,-71.08231,761,car,E,,,,
11,42.362128,-71.08231,585,car,E,,,,
12,42.362128,-71.08231,518,car,E,,,,
13,42.362128,-71.08231,517,car,E,,,,
14,42.362128,-71.08231,520,car,E,,,,
15,42.362128,-71.08231,584,car,E,,,,
16,42.362128,-71.08231,583,car,E,,,,
17,42.362128,-71.08231,557,car,E,,,,
18,42.362128,-71.08231,698,car,E,,,,
19,42.362128,-71.08231,695,car,E,,,,
20,42.362128,-71.08231,542,car,E,,,,
21,42.362128,-71.08231,358,car,E,,,,
22,42.362128,-71.08231,317,car,E,,,,
23,42.362128,-71.08231,308,car,E,,,,
0,42.365779,-71.092001,4,bike,A,"Broadway, in",,,
1,42.365779,-71.092001,0,bike,A,,,,
2,42.365779,-71.092001,0,bike,A,,,,
3,42.365779,-71.092001,0,bike,A,,,,
4,42.365779,-71.092001,0,bike,A,,,,
5,42.365779,-71.092001,4,bike,A,,,,
6,42.365779,-71.092001,30,bike,A,,,,
7,42.365779,-71.092001,128,bike,A,,,,
8,42.365779,-71.092001,283,bike,A,,,,
9,42.365779,-71.092001,152,bike,A,,,,
10,42.365779,-71.092001,64,bike,A,,,,
11,42.365779,-71.092001,43,bike,A,,,,
12,42.365779,-71.092001,34,bike,A,,,,
13,42.365779,-71.092001,35,bike,A,,,,
14,42.365779,-71.092001,16,bike,A,,,,
15,42.365779,-71.092001,21,bike,A,,,,
16,42.365779,-71.092001,30,bike,A,,,,
17,42.365779,-71.092001,57,bike,A,,,,
18,42.365779,-71.092001,35,bike,A,,,,
19,42.365779,-71.092001,26,bike,A,,,,
20,42.365779,-71.092001,13,bike,A,,,,
21,42.365779,-71.092001,14,bike,A,,,,
22,42.365779,-71.092001,8,bike,A,,,,
23,42.365779,-71.092001,3,bike,A,,,,
0,42.362857,-71.091945,2,bike,B,"main, west, in",,,
1,42.362857,-71.091945,0,bike,B,,,,
2,42.362857,-71.091945,0,bike,B,,,,
3,42.362857,-71.091945,0,bike,B,,,,
4,42.362857,-71.091945,0,bike,B,,,,
5,42.362857,-71.091945,2,bike,B,,,,
6,42.362857,-71.091945,15,bike,B,,,,
7,42.362857,-71.091945,64,bike,B,,,,
8,42.362857,-71.091945,141,bike,B,,,,
9,42.362857,-71.091945,76,bike,B,,,,
10,42.362857,-71.091945,32,bike,B,,,,
11,42.362857,-71.091945,21,bike,B,,,,
12,42.362857,-71.091945,17,bike,B,,,,
13,42.362857,-71.091945,17,bike,B,,,,
14,42.362857,-71.091945,8,bike,B,,,,
15,42.362857,-71.091945,10,bike,B,,,,
16,42.362857,-71.091945,15,bike,B,,,,
17,42.362857,-71.091945,28,bike,B,,,,
18,42.362857,-71.091945,17,bike,B,,,,
19,42.362857,-71.091945,13,bike,B,,,,
20,42.362857,-71.091945,6,bike,B,,,,
21,42.362857,-71.091945,7,bike,B,,,,
22,42.362857,-71.091945,4,bike,B,,,,
23,42.362857,-71.091945,1,bike,B,,,,
0,42.35936,-71.087216,2,bike,D,in from mem drive,,9,
1,42.35936,-71.087216,0,bike,D,,,3,
2,42.35936,-71.087216,0,bike,D,,,1,
3,42.35936,-71.087216,0,bike,D,,,1,
4,42.35936,-71.087216,0,bike,D,,,1,
5,42.35936,-71.087216,0,bike,D,,,3,
6,42.35936,-71.087216,1,bike,D,,,6,
7,42.35936,-71.087216,3,bike,D,,,13,
8,42.35936,-71.087216,13,bike,D,,,44,
9,42.35936,-71.087216,9,bike,D,,,32,
10,42.35936,-71.087216,9,bike,D,,,30,
11,42.35936,-71.087216,7,bike,D,,,24,
12,42.35936,-71.087216,9,bike,D,,,32,
13,42.35936,-71.087216,9,bike,D,,,32,
14,42.35936,-71.087216,9,bike,D,,,31,
15,42.35936,-71.087216,14,bike,D,,,49,
16,42.35936,-71.087216,24,bike,D,,,80,
17,42.35936,-71.087216,75,bike,D,,,250,
18,42.35936,-71.087216,66,bike,D,,,222,
19,42.35936,-71.087216,36,bike,D,,,120,
20,42.35936,-71.087216,19,bike,D,,,64,
21,42.35936,-71.087216,13,bike,D,,,45,
22,42.35936,-71.087216,7,bike,D,,,26,
23,42.35936,-71.087216,6,bike,D,,,23,
0,42.362128,-71.08231,7,bike,E,in from the bridge,,,
1,42.362128,-71.08231,2,bike,E,,,,
2,42.362128,-71.08231,0,bike,E,,,,
3,42.362128,-71.08231,0,bike,E,,,,
4,42.362128,-71.08231,0,bike,E,,,,
5,42.362128,-71.08231,2,bike,E,,,,
6,42.362128,-71.08231,4,bike,E,,,,
7,42.362128,-71.08231,10,bike,E,,,,
8,42.362128,-71.08231,35,bike,E,,,,
9,42.362128,-71.08231,25,bike,E,,,,
10,42.362128,-71.08231,24,bike,E,,,,
11,42.362128,-71.08231,19,bike,E,,,,
12,42.362128,-71.08231,25,bike,E,,,,
13,42.362128,-71.08231,25,bike,E,,,,
14,42.362128,-71.08231,24,bike,E,,,,
15,42.362128,-71.08231,39,bike,E,,,,
16,42.362128,-71.08231,64,bike,E,,,,
17,42.362128,-71.08231,200,bike,E,,,,
18,42.362128,-71.08231,177,bike,E,,,,
19,42.362128,-71.08231,96,bike,E,,,,
20,42.362128,-71.08231,51,bike,E,,,,
21,42.362128,-71.08231,36,bike,E,,,,
22,42.362128,-71.08231,20,bike,E,,,,
23,42.362128,-71.08231,18,bike,E,,,,
